State,Area_Name,POP_ESTIMATE_2019
AL,Autauga County,"55,869"
AL,Baldwin County,"223,234"
AL,Barbour County,"24,686"
AL,Bibb County,"22,394"
AL,Blount County,"57,826"
AL,Bullock County,"10,101"
AL,Butler County,"19,448"
AL,Calhoun County,"113,605"
AL,Chambers County,"33,254"
AL,Cherokee County,"26,196"
AL,Chilton County,"44,428"
AL,Choctaw County,"12,589"
AL,Clarke County,"23,622"
AL,Clay County,"13,235"
AL,Cleburne County,"14,910"
AL,Coffee County,"52,342"
AL,Colbert County,"55,241"
AL,Conecuh County,"12,067"
AL,Coosa County,"10,663"
AL,Covington County,"37,049"
AL,Crenshaw County,"13,772"
AL,Cullman County,"83,768"
AL,Dale County,"49,172"
AL,Dallas County,"37,196"
AL,DeKalb County,"71,513"
AL,Elmore County,"81,209"
AL,Escambia County,"36,633"
AL,Etowah County,"102,268"
AL,Fayette County,"16,302"
AL,Franklin County,"31,362"
AL,Geneva County,"26,271"
AL,Greene County,"8,111"
AL,Hale County,"14,651"
AL,Henry County,"17,205"
AL,Houston County,"105,882"
AL,Jackson County,"51,626"
AL,Jefferson County,"658,573"
AL,Lamar County,"13,805"
AL,Lauderdale County,"92,729"
AL,Lawrence County,"32,924"
AL,Lee County,"164,542"
AL,Limestone County,"98,915"
AL,Lowndes County,"9,726"
AL,Macon County,"18,068"
AL,Madison County,"372,909"
AL,Marengo County,"18,863"
AL,Marion County,"29,709"
AL,Marshall County,"96,774"
AL,Mobile County,"413,210"
AL,Monroe County,"20,733"
AL,Montgomery County,"226,486"
AL,Morgan County,"119,679"
AL,Perry County,"8,923"
AL,Pickens County,"19,930"
AL,Pike County,"33,114"
AL,Randolph County,"22,722"
AL,Russell County,"57,961"
AL,St. Clair County,"89,512"
AL,Shelby County,"217,702"
AL,Sumter County,"12,427"
AL,Talladega County,"79,978"
AL,Tallapoosa County,"40,367"
AL,Tuscaloosa County,"209,355"
AL,Walker County,"63,521"
AL,Washington County,"16,326"
AL,Wilcox County,"10,373"
AL,Winston County,"23,629"
AK,Aleutians East Borough,"3,337"
AK,Aleutians West Census Area,"5,634"
AK,Anchorage Municipality,"288,000"
AK,Bethel Census Area,"18,386"
AK,Bristol Bay Borough,836
AK,Denali Borough,"2,097"
AK,Dillingham Census Area,"4,916"
AK,Fairbanks North Star Borough,"96,849"
AK,Haines Borough,"2,530"
AK,Hoonah-Angoon Census Area,"2,148"
AK,Juneau City and Borough,"31,974"
AK,Kenai Peninsula Borough,"58,708"
AK,Ketchikan Gateway Borough,"13,901"
AK,Kodiak Island Borough,"12,998"
AK,Kusilvak Census Area,"8,314"
AK,Lake and Peninsula Borough,"1,592"
AK,Matanuska-Susitna Borough,"108,317"
AK,Nome Census Area,"10,004"
