id,Geographic Area Name,Total,White ,White %,Black or African American,Black %,Asian,Asian %,Other,Other %
0500000US01001,"Autauga County, Alabama",58805,42160,71.69458379,11445,19.46263073,881,1.498171924,4319,7.344613553
0500000US01003,"Baldwin County, Alabama",231767,189399,81.71957181,18217,7.860049101,2067,0.891843964,22084,9.528535124
0500000US01005,"Barbour County, Alabama",25223,11317,44.86777941,11933,47.30999485,117,0.463862348,1856,7.358363398
0500000US01007,"Bibb County, Alabama",22293,16555,74.26097878,4413,19.79545149,32,0.143542816,1293,5.800026914
0500000US01009,"Blount County, Alabama",59134,50663,85.67490784,845,1.42895796,178,0.301011263,7448,12.59512294
0500000US01011,"Bullock County, Alabama",10357,2320,22.40030897,7396,71.41064015,9,0.08689775,632,6.102153133
0500000US01013,"Butler County, Alabama",19051,9752,51.18891397,8430,44.24964569,143,0.750616766,726,3.810823579
0500000US01015,"Calhoun County, Alabama",116441,80586,69.20758152,25559,21.95017219,1190,1.021976795,9106,7.820269493
0500000US01017,"Chambers County, Alabama",34772,18850,54.21028414,13512,38.85885195,401,1.153226734,2009,5.777637179
0500000US01019,"Cherokee County, Alabama",24971,22707,90.93348284,987,3.952584999,56,0.224260142,1221,4.88967202
0500000US01021,"Chilton County, Alabama",45014,35527,78.92433465,4067,9.034966899,181,0.402097125,5239,11.63860132
0500000US01023,"Choctaw County, Alabama",12665,7074,55.85471773,5232,41.31069878,22,0.173707067,337,2.660876431
0500000US01025,"Clarke County, Alabama",23087,12029,52.10291506,10255,44.41893706,94,0.407155542,709,3.070992333
0500000US01027,"Clay County, Alabama",14236,11375,79.90306266,1963,13.78898567,48,0.337173363,850,5.970778309
0500000US01029,"Cleburne County, Alabama",15056,13819,91.78400638,466,3.095111583,21,0.139479277,750,4.981402763
0500000US01031,"Coffee County, Alabama",53465,37080,69.35378285,8760,16.38455064,909,1.700177686,6716,12.56148882
0500000US01033,"Colbert County, Alabama",57227,43631,76.24198368,9286,16.22660632,432,0.754888427,3878,6.776521572
0500000US01035,"Conecuh County, Alabama",11597,5912,50.97870139,5104,44.01138225,40,0.344916789,541,4.664999569
0500000US01037,"Coosa County, Alabama",10387,6824,65.6975065,3008,28.95927602,8,0.077019351,547,5.266198132
0500000US01039,"Covington County, Alabama",37570,30877,82.18525419,4607,12.26244344,240,0.638807559,1846,4.91349481
0500000US01041,"Crenshaw County, Alabama",13194,9388,71.15355465,3103,23.51826588,83,0.629073821,620,4.699105654
0500000US01043,"Cullman County, Alabama",87866,79142,90.07124485,937,1.066396558,522,0.59408645,7265,8.268272142
