State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019
AL,"Autauga County, AL","26,281","25,561",720,2.7,"58,233"
AL,"Baldwin County, AL","97,424","94,713","2,711",2.8,"59,871"
AL,"Barbour County, AL","8,502","8,177",325,3.8,"35,972"
AL,"Bibb County, AL","8,639","8,371",268,3.1,"47,918"
AL,"Blount County, AL","25,196","24,516",680,2.7,"52,902"
AL,"Bullock County, AL","4,785","4,608",177,3.7,"31,906"
AL,"Butler County, AL","9,172","8,832",340,3.7,"39,944"
AL,"Calhoun County, AL","46,082","44,440","1,642",3.6,"47,747"
AL,"Chambers County, AL","15,749","15,287",462,2.9,"42,015"
AL,"Cherokee County, AL","11,726","11,386",340,2.9,"45,982"
AL,"Chilton County, AL","19,841","19,296",545,2.7,"49,692"
AL,"Choctaw County, AL","4,645","4,427",218,4.7,"39,808"
AL,"Clarke County, AL","7,588","7,151",437,5.8,"43,822"
AL,"Clay County, AL","6,068","5,886",182,3,"40,562"
AL,"Cleburne County, AL","5,773","5,590",183,3.2,"51,276"
AL,"Coffee County, AL","21,741","21,108",633,2.9,"57,299"
AL,"Colbert County, AL","23,703","22,811",892,3.8,"46,683"
AL,"Conecuh County, AL","4,499","4,320",179,4,"41,539"
AL,"Coosa County, AL","4,505","4,370",135,3,"42,024"
AL,"Covington County, AL","15,545","15,007",538,3.5,"44,836"
AL,"Crenshaw County, AL","6,436","6,253",183,2.8,"43,309"
AL,"Cullman County, AL","38,541","37,533","1,008",2.6,"50,897"
AL,"Dale County, AL","20,600","19,951",649,3.2,"45,120"
AL,"Dallas County, AL","14,655","13,850",805,5.5,"34,034"
AL,"DeKalb County, AL","31,148","30,270",878,2.8,"44,277"
AL,"Elmore County, AL","37,236","36,257",979,2.6,"62,310"
AL,"Escambia County, AL","14,613","14,095",518,3.5,"42,712"
AL,"Etowah County, AL","42,462","41,026","1,436",3.4,"43,047"
AL,"Fayette County, AL","6,582","6,376",206,3.1,"44,212"
AL,"Franklin County, AL","14,592","14,185",407,2.8,"44,874"
AL,"Geneva County, AL","10,930","10,606",324,3,"43,089"
AL,"Greene County, AL","2,889","2,727",162,5.6,"28,699"
AL,"Hale County, AL","6,076","5,834",242,4,"40,745"
AL,"Henry County, AL","6,882","6,632",250,3.6,"48,597"
AL,"Houston County, AL","46,298","44,892","1,406",3,"50,138"
AL,"Jackson County, AL","23,326","22,550",776,3.3,"44,322"
AL,"Jefferson County, AL","316,802","307,648","9,154",2.9,"54,127"
AL,"Lamar County, AL","5,802","5,621",181,3.1,"42,686"
AL,"Lauderdale County, AL","42,448","41,047","1,401",3.3,"48,188"
AL,"Lawrence County, AL","14,230","13,779",451,3.2,"47,797"
AL,"Lee County, AL","76,375","74,272","2,103",2.8,"54,160"
AL,"Limestone County, AL","44,272","43,081","1,191",2.7,"64,729"
AL,"Lowndes County, AL","3,499","3,296",203,5.8,"33,930"
AL,"Macon County, AL","7,856","7,522",334,4.3,"34,281"
AL,"Madison County, AL","184,941","180,126","4,815",2.6,"68,609"
AL,"Marengo County, AL","7,681","7,409",272,3.5,"38,838"
AL,"Marion County, AL","12,748","12,299",449,3.5,"44,675"
AL,"Marshall County, AL","44,060","42,962","1,098",2.5,"48,913"
AL,"Mobile County, AL","188,741","181,682","7,059",3.7,"49,492"
AL,"Monroe County, AL","7,320","6,966",354,4.8,"40,005"
AL,"Montgomery County, AL","106,077","102,780","3,297",3.1,"52,711"
AL,"Morgan County, AL","58,288","56,777","1,511",2.6,"54,355"
AL,"Perry County, AL","3,381","3,203",178,5.3,"29,572"
AL,"Pickens County, AL","7,904","7,625",279,3.5,"40,249"
AL,"Pike County, AL","15,331","14,825",506,3.3,"41,271"
AL,"Randolph County, AL","9,497","9,204",293,3.1,"42,922"
AL,"Russell County, AL","23,708","23,001",707,3,"43,670"
AL,"St. Clair County, AL","40,698","39,591","1,107",2.7,"65,403"
AL,"Shelby County, AL","116,412","113,842","2,570",2.2,"77,801"
AL,"Sumter County, AL","4,755","4,537",218,4.6,"29,209"
AL,"Talladega County, AL","35,654","34,428","1,226",3.4,"47,719"
AL,"Tallapoosa County, AL","18,452","17,894",558,3,"47,100"
AL,"Tuscaloosa County, AL","104,950","102,096","2,854",2.7,"52,307"
AL,"Walker County, AL","25,148","24,311",837,3.3,"45,991"
AL,"Washington County, AL","6,699","6,384",315,4.7,"48,864"
AL,"Wilcox County, AL","2,706","2,512",194,7.2,"30,998"
AL,"Winston County, AL","10,122","9,785",337,3.3,"40,827"
AK,"Aleutians East Borough, AK","2,560","2,502",58,2.3,"66,923"
AK,"Aleutians West Census Area, AK","3,657","3,544",113,3.1,"84,726"
AK,"Anchorage Borough/municipality, AK","149,118","142,485","6,633",4.4,"82,512"
AK,"Bethel Census Area, AK","7,098","6,283",815,11.5,"48,262"
AK,"Bristol Bay Borough, AK",451,427,24,5.3,"87,950"
AK,"Denali Borough, AK","1,102","1,021",81,7.4,"78,434"
AK,"Dillingham Census Area, AK","1,987","1,847",140,7,"57,436"
AK,"Fairbanks North Star Borough, AK","45,510","43,373","2,137",4.7,"74,076"
AK,"Haines Borough, AK","1,133","1,043",90,7.9,"62,548"
AK,"Hoonah-Angoon Census Area, AK","1,193","1,074",119,10,"53,141"
AK,"Juneau Borough/city, AK","17,302","16,625",677,3.9,"85,419"
AK,"Kenai Peninsula Borough, AK","26,551","24,947","1,604",6,"68,625"
AK,"Ketchikan Gateway Borough, AK","7,022","6,637",385,5.5,"75,706"
AK,"Kodiak Island Borough, AK","5,988","5,695",293,4.9,"79,669"
AK,"Kusilvak Census Area, AK","2,652","2,186",466,17.6,"35,369"
AK,"Lake and Peninsula Borough, AK",710,647,63,8.9,"51,693"
AK,"Matanuska-Susitna Borough, AK","48,361","45,432","2,929",6.1,"75,856"
AK,"Nome Census Area, AK","4,032","3,637",395,9.8,"58,464"
AK,"North Slope Borough, AK","3,561","3,360",201,5.6,"84,784"
AK,"Northwest Arctic Borough, AK","2,908","2,542",366,12.6,"61,660"
AK,"Petersburg Borough, AK","1,414","1,304",110,7.8,"71,296"
AK,"Prince of Wales-Hyder Census Area, AK","2,889","2,631",258,8.9,"50,049"
AK,"Sitka Borough/city, AK","4,419","4,258",161,3.6,"80,660"
AK,"Skagway Municipality, AK",784,715,69,8.8,"74,898"
AK,"Southeast Fairbanks Census Area, AK","2,879","2,652",227,7.9,"69,646"
AK,"Valdez-Cordova Census Area, AK","4,877","4,551",326,6.7,"74,574"
AK,"Wrangell Borough/city, AK","1,034",965,69,6.7,"62,496"
AK,"Yakutat Borough/city, AK",252,235,17,6.7,"61,587"
AK,"Yukon-Koyukuk Census Area, AK","2,445","2,137",308,12.6,"42,063"
AZ,"Apache County, AZ","20,432","18,373","2,059",10.1,"35,386"
AZ,"Cochise County, AZ","50,300","47,381","2,919",5.8,"48,650"
AZ,"Coconino County, AZ","77,107","72,664","4,443",5.8,"58,301"
AZ,"Gila County, AZ","21,410","20,191","1,219",5.7,"45,980"
AZ,"Graham County, AZ","15,427","14,665",762,4.9,"50,685"
AZ,"Greenlee County, AZ","4,482","4,302",180,4,"68,066"
AZ,"La Paz County, AZ","9,283","8,727",556,6,"39,407"
AZ,"Maricopa County, AZ","2,298,810","2,202,716","96,094",4.2,"68,634"
AZ,"Mohave County, AZ","87,211","82,093","5,118",5.9,"49,712"
AZ,"Navajo County, AZ","40,720","37,641","3,079",7.6,"40,676"
AZ,"Pima County, AZ","497,406","474,779","22,627",4.5,"56,150"
AZ,"Pinal County, AZ","189,834","180,277","9,557",5,"62,067"
AZ,"Santa Cruz County, AZ","19,600","17,891","1,709",8.7,"47,779"
AZ,"Yavapai County, AZ","106,514","101,642","4,872",4.6,"54,242"
AZ,"Yuma County, AZ","100,189","83,320","16,869",16.8,"47,024"
AR,"Arkansas County, AR","9,477","9,195",282,3,"52,539"
AR,"Ashley County, AR","7,707","7,293",414,5.4,"47,744"
AR,"Baxter County, AR","16,324","15,674",650,4,"41,950"
AR,"Benton County, AR","139,120","135,482","3,638",2.6,"70,775"
AR,"Boone County, AR","16,064","15,555",509,3.2,"50,083"
AR,"Bradley County, AR","4,480","4,297",183,4.1,"39,982"
AR,"Calhoun County, AR","2,435","2,329",106,4.4,"48,415"
AR,"Carroll County, AR","12,825","12,427",398,3.1,"43,841"
AR,"Chicot County, AR","3,255","3,031",224,6.9,"37,014"
AR,"Clark County, AR","9,700","9,332",368,3.8,"44,105"
AR,"Clay County, AR","5,672","5,397",275,4.8,"40,686"
AR,"Cleburne County, AR","9,229","8,815",414,4.5,"46,214"
AR,"Cleveland County, AR","3,244","3,117",127,3.9,"53,773"
AR,"Columbia County, AR","9,204","8,797",407,4.4,"42,964"
AR,"Conway County, AR","8,298","7,942",356,4.3,"46,924"
AR,"Craighead County, AR","56,193","54,631","1,562",2.8,"47,766"
AR,"Crawford County, AR","26,900","26,011",889,3.3,"44,600"
AR,"Crittenden County, AR","21,242","20,341",901,4.2,"41,976"
AR,"Cross County, AR","7,405","7,095",310,4.2,"45,273"
AR,"Dallas County, AR","2,827","2,697",130,4.6,"41,314"
AR,"Desha County, AR","5,410","5,170",240,4.4,"37,005"
AR,"Drew County, AR","7,833","7,429",404,5.2,"44,162"
AR,"Faulkner County, AR","62,942","61,069","1,873",3,"58,482"
AR,"Franklin County, AR","7,524","7,274",250,3.3,"45,670"
AR,"Fulton County, AR","4,981","4,783",198,4,"32,926"
AR,"Garland County, AR","41,474","39,943","1,531",3.7,"45,786"
AR,"Grant County, AR","8,428","8,162",266,3.2,"58,566"
AR,"Greene County, AR","20,059","19,366",693,3.5,"47,098"
AR,"Hempstead County, AR","9,921","9,545",376,3.8,"40,867"
AR,"Hot Spring County, AR","14,058","13,552",506,3.6,"45,860"
AR,"Howard County, AR","5,689","5,505",184,3.2,"41,427"
AR,"Independence County, AR","16,580","15,924",656,4,"47,903"
AR,"Izard County, AR","4,908","4,641",267,5.4,"40,233"
AR,"Jackson County, AR","5,814","5,437",377,6.5,"38,636"
AR,"Jefferson County, AR","27,664","26,162","1,502",5.4,"40,555"
AR,"Johnson County, AR","10,276","9,810",466,4.5,"40,396"
AR,"Lafayette County, AR","2,458","2,345",113,4.6,"37,164"
AR,"Lawrence County, AR","6,841","6,560",281,4.1,"39,604"
AR,"Lee County, AR","2,823","2,697",126,4.5,"30,421"
AR,"Lincoln County, AR","3,902","3,734",168,4.3,"44,272"
AR,"Little River County, AR","5,529","5,292",237,4.3,"43,257"
AR,"Logan County, AR","8,528","8,160",368,4.3,"42,249"
AR,"Lonoke County, AR","34,268","33,167","1,101",3.2,"62,782"
AR,"Madison County, AR","7,407","7,218",189,2.6,"48,016"
AR,"Marion County, AR","6,666","6,401",265,4,"38,760"
AR,"Miller County, AR","19,743","18,940",803,4.1,"50,905"
AR,"Mississippi County, AR","17,381","16,501",880,5.1,"39,990"
AR,"Monroe County, AR","2,754","2,637",117,4.2,"34,289"
AR,"Montgomery County, AR","2,980","2,842",138,4.6,"39,591"
AR,"Nevada County, AR","3,653","3,510",143,3.9,"36,528"
AR,"Newton County, AR","3,322","3,206",116,3.5,"37,648"
AR,"Ouachita County, AR","9,845","9,342",503,5.1,"46,393"
AR,"Perry County, AR","4,311","4,137",174,4,"50,560"
AR,"Phillips County, AR","6,362","5,986",376,5.9,"31,521"
AR,"Pike County, AR","4,247","4,085",162,3.8,"44,426"
AR,"Poinsett County, AR","10,033","9,688",345,3.4,"40,536"
AR,"Polk County, AR","8,077","7,740",337,4.2,"39,722"
AR,"Pope County, AR","29,061","27,820","1,241",4.3,"47,519"
AR,"Prairie County, AR","3,610","3,456",154,4.3,"46,205"
AR,"Pulaski County, AR","189,623","183,196","6,427",3.4,"52,684"
AR,"Randolph County, AR","7,310","7,029",281,3.8,"42,875"
AR,"St. Francis County, AR","8,191","7,773",418,5.1,"34,389"
AR,"Saline County, AR","59,520","57,862","1,658",2.8,"66,944"
AR,"Scott County, AR","4,330","4,184",146,3.4,"38,065"
AR,"Searcy County, AR","2,907","2,776",131,4.5,"34,712"
AR,"Sebastian County, AR","56,811","54,957","1,854",3.3,"48,945"
AR,"Sevier County, AR","5,526","5,262",264,4.8,"43,493"
AR,"Sharp County, AR","5,762","5,478",284,4.9,"37,591"
AR,"Stone County, AR","4,738","4,515",223,4.7,"36,930"
AR,"Union County, AR","15,794","14,974",820,5.2,"46,602"
AR,"Van Buren County, AR","5,780","5,494",286,4.9,"38,096"
AR,"Washington County, AR","124,929","121,868","3,061",2.5,"52,158"
AR,"White County, AR","33,929","32,420","1,509",4.4,"46,388"
AR,"Woodruff County, AR","2,770","2,626",144,5.2,"36,568"
AR,"Yell County, AR","8,389","8,055",334,4,"44,469"
CA,"Alameda County, CA","841,075","815,889","25,186",3,"107,589"
CA,"Alpine County, CA",541,512,29,5.4,"58,112"
CA,"Amador County, CA","14,801","14,217",584,3.9,"62,640"
CA,"Butte County, CA","97,922","92,858","5,064",5.2,"58,394"
CA,"Calaveras County, CA","21,310","20,485",825,3.9,"68,248"
CA,"Colusa County, CA","10,975","9,549","1,426",13,"59,048"
CA,"Contra Costa County, CA","559,710","542,121","17,589",3.1,"106,555"
CA,"Del Norte County, CA","9,617","9,053",564,5.9,"48,979"
CA,"El Dorado County, CA","92,132","88,833","3,299",3.6,"86,202"
