,STATEFP,COUNTYFP,ALAND,AWATER
0,39,071,1432479992,12194983
1,06,003,1912292630,12557304
2,12,033,1701544502,563927612
3,17,101,963936864,5077783
4,28,153,2099745573,7255476
5,28,141,1098938845,52360190
6,30,089,7149405165,76394144
7,36,001,1354120790,27124553
8,42,105,2800612694,559778
9,29,077,1749081115,6620035
10,29,205,1297230222,3764606
11,02,100,6059513753,1051059522
12,04,015,34475503959,387309657
13,13,143,730804585,2616531
14,21,145,644244453,50304950
15,27,133,1249560755,698231
16,41,047,3057615207,26569475
17,47,125,1396430602,12079963
18,48,243,5865172230,206206
19,55,061,886951858,1921336271
20,05,051,1755290360,147383937
21,06,109,5752079372,138722707
22,17,093,829468028,5136619
23,20,133,1480111173,16369480
24,19,083,1474505075,1776735
25,27,109,1692581423,3505507
26,27,087,1444868073,64851531
27,31,009,1840673980,9443894
28,27,153,2447446073,89448980
29,42,113,1165338428,6617028
30,46,035,1128284964,3404556
31,48,397,329213365,56068892
32,31,111,6641072810,28449819
33,48,265,2857601859,10247474
34,31,117,2224733580,2680669
35,72,101,100676183,139537
36,46,069,2229019815,14541547
37,72,129,137547974,256426
38,48,259,1715747625,1496797
39,48,031,1836948539,10818163
40,01,003,4117546676,1133055836
41,01,059,1641841406,32643981
42,08,057,4179530258,18750017
43,19,131,1215049039,1118415
44,20,019,1654694134,15243776
45,26,121,1305064357,2476380060
46,35,031,14117193197,13684636
47,46,033,4032473517,5481083
48,48,111,3893095082,5180577
49,29,055,1923005924,3306284
50,05,037,1596421809,15344835
51,06,103,7638228750,33767783
52,06,105,8234265085,73407950
53,16,063,3111517520,11588561
54,18,137,1156236795,4237459
55,20,081,1495770085,910409
56,20,111,2194985525,20534528
57,17,139,870123798,22102741
58,28,115,1289201714,8437676
59,29,061,1458906359,14913881
60,37,151,2026195914,19801097
61,39,045,1306415009,10754493
62,40,059,2691041192,5259447
63,48,329,2331647563,4520751
64,54,091,447475055,7532835
65,48,021,2300370292,19079348
66,48,095,2547914009,25740025
67,51,685,6538719,616
68,51,570,19475232,766910
69,72,054,39391499,34012
70,18,005,1053901037,6782908
