,Unnamed: 0,street_address,city,state,zip_code,lat,lon,misc_notes,phone_number,MONDAY_is_closed,MONDAY_open,MONDAY_close,TUESDAY_is_closed,TUESDAY_open,TUESDAY_close,WEDNESDAY_is_closed,WEDNESDAY_open,WEDNESDAY_close,THURSDAY_is_closed,THURSDAY_open,THURSDAY_close,FRIDAY_is_closed,FRIDAY_open,FRIDAY_close,SATURDAY_is_closed,SATURDAY_open,SATURDAY_close,SUNDAY_is_closed,SUNDAY_open,SUNDAY_close,geometry,county,STATEFP,COUNTYFP
0,0,7285 U.S. Highway 431,Albertville,AL,35950,34.275960184184974,-86.20613483986382,Drive-Thru and Carry Out available. Dining Room closed,12568786869,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,POINT (-86.20613483986382 34.27596018418497),Marshall,01,095
1,1,955 Airport Drive,Alexander City,AL,35010,32.920478630809576,-85.95232716474425,Drive-Thru and Carry Out available. Dining Room closed,12563291611,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,POINT (-85.95232716474425 32.92047863080958),Tallapoosa,01,123
2,2,2000 Quintard Avenue,Anniston,AL,36201,33.67059192962368,-85.82724268484544,Drive-Thru and Carry Out available. Dining Room closed,12562352234,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,POINT (-85.82724268484544 33.67059192962368),Calhoun,01,015
3,3,710 Brindlee Mountain Parkway,Arab,AL,35016,34.32736879560343,-86.50246236135956,Drive-Thru and Carry Out available. Dining Room closed,12565860334,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,POINT (-86.50246236135956 34.32736879560343),Marshall,01,095
4,4,"205 U.S. Highway 72, W",Athens,AL,35611,34.789503700000004,-86.97185390000001,,12562328033,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,False,1000.0,2100.0,POINT (-86.97185390000001 34.7895037),Limestone,01,083
5,5,1225 South Main Street,Atmore,AL,36502,31.006282456823765,-87.49338624601533,Drive-Thru and Carry Out available. Dining Room closed,12513682884,False,1030.0,2030.0,False,1030.0,2030.0,False,1030.0,2030.0,False,1030.0,2030.0,False,1030.0,2030.0,False,1030.0,2030.0,False,1030.0,2030.0,POINT (-87.49338624601533 31.00628245682377),Escambia,01,053
6,6,500 Cherry Street,Attalla,AL,35954,34.01830518696761,-86.07748234456636,Drive-Thru and Carry Out available. Dining Room closed,12565387378,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,POINT (-86.07748234456636 34.01830518696761),Etowah,01,055
7,7,1580 Opelika Road,Auburn,AL,36830,32.62434129782714,-85.44643673189451,Drive-Thru and Carry Out available. Dining Room closed,13348217507,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,False,1100.0,2000.0,POINT (-85.44643673189451 32.62434129782714),Lee,01,081
8,8,"1818 Ninth Avenue, North",Bessemer,AL,35020,33.40636565299193,-86.96164663558199,,12054280360,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,False,1000.0,2200.0,POINT (-86.96164663558199 33.40636565299193),Jefferson,01,073
9,9,1217 Carraway Boulevard,Birmingham,AL,35234,33.53186894332968,-86.80626113682268,,12053281304,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,False,1100.0,2130.0,POINT (-86.80626113682268 33.53186894332968),Jefferson,01,073
